scenario,scenario_label,horizon,design,metric,dose,is_kstar,mean,se,lo,hi
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Recommended,5,False,0.021333333333333333,0.0066304890171712885,0.009666666666666665,0.03500833333333333
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Recommended,6,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Allocated,1,False,0.8903333333333372,0.01740629345785109,0.8583333333333376,0.9266833333333369
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Allocated,2,False,4.652000000000005,0.07000767668791534,4.514991666666669,4.783358333333337
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Allocated,3,True,46.6623333333333,0.4009278862783956,45.92927499999996,47.49534166666673
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Allocated,4,False,47.02966666666663,0.43402914566671363,46.15052499999999,47.826683333333364
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Allocated,5,False,0.4323333333333285,0.018480278151841757,0.3996583333333287,0.4709999999999941
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Allocated,6,False,0.3333333333333318,7.220060593319288e-16,0.3333333333333318,0.3333333333333318
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Recommended,1,False,45.54200000000007,1.0678434294660224,43.526516666666666,47.655233333333406
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Recommended,2,False,0.6886666666666704,0.11167871721989339,0.5082749999999924,0.9434583333333438
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Recommended,3,True,51.10600000000007,1.0731723179794146,49.00645833333342,53.268708333333464
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Recommended,4,False,2.6633333333333336,0.21841197381929645,2.247950000000001,3.098016666666666
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Recommended,5,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Recommended,6,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Allocated,1,False,0.48566666666666247,0.009084153526318991,0.46933333333332955,0.504666666666663
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Allocated,2,False,4.618333333333329,0.0733845760846119,4.471958333333334,4.758008333333333
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Allocated,3,True,47.95866666666668,0.3804145528914557,47.21252499999995,48.64847499999995
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Allocated,4,False,46.2706666666666,0.4180409841283121,45.50460833333333,47.09278333333335
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Allocated,5,False,0.3333333333333318,7.220060593319288e-16,0.3333333333333318,0.3333333333333318
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Allocated,6,False,0.3333333333333318,7.220060593319288e-16,0.3333333333333318,0.3333333333333318
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Recommended,1,False,4.436,0.5585102855006435,3.365975,5.5120249999999995
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Recommended,2,False,21.339,1.2272335267193872,19.032975,23.863025
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Recommended,3,True,25.026,1.325111425539036,22.470825,27.6942
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Recommended,4,False,37.921,1.371945658196798,35.342475,40.542025
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Recommended,5,False,11.137,0.9320602170585464,9.280975,12.9093
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Recommended,6,False,0.141,0.013404626179159317,0.115,0.167
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Allocated,1,False,4.436,0.5487140676956321,3.364875,5.601025
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Allocated,2,False,21.339,1.2064581262747802,18.84,23.556025
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Allocated,3,True,25.026,1.3123357483969251,22.623125,27.59045
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Allocated,4,False,37.921,1.4652704265284473,35.289,40.860025
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",100,3 + 3,Allocated,5,False,11.137,0.935075064109572,9.36795,12.9281
