misspecified,design,accuracy,stratified,n_scenarios,mean_patients,sd_across_scenarios,ci_lo,ci_hi,censored_frac,gap
False,SEEDA Plateau (ours),0.9,True,32,283.3125,188.11534510644296,224.1375,348.48515625,0.59375,1.0
False,SEEDA Plateau (fixed),0.0,True,32,21.0,0.0,21.0,21.0,0.0,1.0
False,SEEDA Plateau (fixed),0.1,True,32,49.6875,81.13407362647217,28.1203125,81.00468749999999,0.03125,1.0
False,SEEDA Plateau (fixed),0.2,True,32,76.03125,117.66093559941223,41.4328125,122.63437499999999,0.0625,1.0
False,SEEDA Plateau (fixed),0.3,True,32,94.59375,141.49634883583028,50.2453125,144.67265625,0.125,1.0
False,SEEDA Plateau (fixed),0.4,True,32,103.6875,141.46136768880436,59.89921875,152.06953124999998,0.125,1.0
False,SEEDA Plateau (fixed),0.5,True,32,118.125,144.4443748276645,72.65390625,168.19921875,0.125,1.0
False,SEEDA Plateau (fixed),0.6,True,32,130.6875,151.3333081687251,83.71875,180.29062499999998,0.15625,1.0
False,SEEDA Plateau (fixed),0.7,True,32,142.03125,150.16753748569005,97.68515625,197.06484375,0.15625,1.0
False,SEEDA Plateau (fixed),0.8,True,32,165.5625,158.32468425726069,116.24765625,222.03749999999997,0.1875,1.0
False,SEEDA Plateau (fixed),0.9,True,32,216.0,179.5122423716286,154.77890625,275.53359375,0.40625,1.0
True,UCB,0.0,True,27,21.0,0.0,21.0,21.0,0.0,0.0
True,UCB,0.1,True,27,136.0,192.9208685924401,72.0,200.39999999999964,0.25925925925925924,0.0
True,UCB,0.2,True,27,139.77777777777777,190.68889954650322,76.66666666666667,203.78333333333333,0.25925925925925924,0.0
True,UCB,0.3,True,27,152.44444444444446,185.45024904754072,89.7611111111111,223.78333333333333,0.2962962962962963,0.0
True,UCB,0.4,True,27,176.44444444444446,184.54837459079005,108.55277777777778,249.4944444444444,0.3333333333333333,0.0
True,UCB,0.5,True,27,248.0,194.64286823268444,173.32777777777778,318.00555555555553,0.48148148148148145,0.0
True,UCB,0.6,True,27,280.6666666666667,192.81198494507944,206.55277777777778,348.0,0.5185185185185185,0.0
True,UCB,0.7,True,27,334.0,172.5596886698807,263.93055555555554,393.0,0.7037037037037037,0.0
True,UCB,0.8,True,27,369.77777777777777,160.94440830331,310.4277777777778,423.1138888888889,0.7407407407407407,0.0
True,UCB,0.9,True,27,387.0,142.2148969801579,331.76944444444445,438.0361111111111,0.7777777777777778,0.0
True,SEEDA,0.0,True,27,21.0,0.0,21.0,21.0,0.0,0.0
True,SEEDA,0.1,True,27,136.0,192.9208685924401,72.0,200.39999999999964,0.25925925925925924,0.0
True,SEEDA,0.2,True,27,138.22222222222223,191.58114033832592,74.66666666666667,217.66666666666666,0.25925925925925924,0.0
True,SEEDA,0.3,True,27,146.0,188.9029054628533,82.66666666666667,219.33333333333334,0.2962962962962963,0.0
True,SEEDA,0.4,True,27,150.22222222222223,187.50494010586112,87.10000000000001,228.11111111111111,0.25925925925925924,0.0
True,SEEDA,0.5,True,27,206.88888888888889,192.98810910626142,133.7722222222222,281.1444444444444,0.4444444444444444,0.0
True,SEEDA,0.6,True,27,273.44444444444446,191.1574730089815,206.21944444444446,343.25277777777774,0.5925925925925926,0.0
True,SEEDA,0.7,True,27,307.6666666666667,185.15565177605404,242.65833333333333,374.7861111111111,0.6296296296296297,0.0
True,SEEDA,0.8,True,27,331.0,173.89253976124272,264.21944444444443,393.1111111111111,0.6666666666666666,0.0
True,SEEDA,0.9,True,27,361.3333333333333,168.85360067685397,296.1083333333333,420.00555555555553,0.7407407407407407,0.0
True,SEEDA Plateau,0.0,True,27,21.0,0.0,21.0,21.0,0.0,0.0
True,SEEDA Plateau,0.1,True,27,173.77777777777777,204.15253221612613,105.76666666666667,252.89444444444445,0.3333333333333333,0.0
True,SEEDA Plateau,0.2,True,27,183.55555555555554,200.5397204724777,113.10555555555555,257.6666666666667,0.3333333333333333,0.0
True,SEEDA Plateau,0.3,True,27,192.88888888888889,200.90666285488686,119.97777777777777,264.44444444444446,0.3333333333333333,0.0
