design,comparison,true_gap,cohort,ratio_mean,ci_lo,ci_hi
Algorithm 2,Doses 1–2,0.24999999999999997,66,7.985220665341253,7.905320467144923,8.068552128390394
Algorithm 2,Doses 1–2,0.24999999999999997,67,7.9847635969775155,7.9050756674077665,8.06838002130914
Algorithm 2,Doses 1–2,0.24999999999999997,68,7.98133625902303,7.901369240502417,8.06630568613194
Algorithm 2,Doses 1–2,0.24999999999999997,69,7.974996863992863,7.894390581409585,8.05914765574601
Algorithm 2,Doses 1–2,0.24999999999999997,70,7.971086697030835,7.88816106976725,8.05469732540329
Algorithm 2,Doses 1–2,0.24999999999999997,71,7.968834592840658,7.887634162230331,8.053207211979228
Algorithm 2,Doses 1–2,0.24999999999999997,72,7.964643582561911,7.884034765839708,8.04802171180359
Algorithm 2,Doses 1–2,0.24999999999999997,73,7.963022326548325,7.883070814067889,8.047681917247697
Algorithm 2,Doses 1–2,0.24999999999999997,74,7.961011096122661,7.87947615576256,8.046374847803376
Algorithm 2,Doses 1–2,0.24999999999999997,75,7.9572121640572435,7.875384496852663,8.043034402718586
Algorithm 2,Doses 1–2,0.24999999999999997,76,7.950008598883366,7.868863444271542,8.036596664514184
Algorithm 2,Doses 1–2,0.24999999999999997,77,7.94856465952544,7.868595156506832,8.035173431538768
Algorithm 2,Doses 1–2,0.24999999999999997,78,7.945775081935489,7.864845088628315,8.030231279160043
Algorithm 2,Doses 1–2,0.24999999999999997,79,7.942179069805989,7.860840381906264,8.025288844238228
Algorithm 2,Doses 1–2,0.24999999999999997,80,7.9419609129243245,7.860707306986461,8.026750695395064
Algorithm 2,Doses 1–2,0.24999999999999997,81,7.942365828811496,7.859380331905393,8.027308595639356
Algorithm 2,Doses 1–2,0.24999999999999997,82,7.942881521114313,7.8589374150916225,8.027958322372385
Algorithm 2,Doses 1–2,0.24999999999999997,83,7.944129495956043,7.860352746844512,8.02730124148871
Algorithm 2,Doses 1–2,0.24999999999999997,84,7.946340112135149,7.862924645698423,8.03054334462295
Algorithm 2,Doses 1–2,0.24999999999999997,85,7.93994814273963,7.858506173404868,8.023880959204515
Algorithm 2,Doses 1–2,0.24999999999999997,86,7.939193000113346,7.858642440125251,8.022751541293076
Algorithm 2,Doses 1–2,0.24999999999999997,87,7.935263411538291,7.854288289796226,8.018218213221324
Algorithm 2,Doses 1–2,0.24999999999999997,88,7.93461682738075,7.852018072409509,8.015323411894913
Algorithm 2,Doses 1–2,0.24999999999999997,89,7.934156919404235,7.852071606238554,8.014106448412393
Algorithm 2,Doses 1–2,0.24999999999999997,90,7.931231807348497,7.847953389683831,8.0128304569359
Algorithm 2,Doses 1–2,0.24999999999999997,91,7.93062122546189,7.848414211727921,8.013542277861815
Algorithm 2,Doses 1–2,0.24999999999999997,92,7.926914291930727,7.846737668217098,8.008299973160756
Algorithm 2,Doses 1–2,0.24999999999999997,93,7.919382293971757,7.8378466052271465,8.00028065783828
Algorithm 2,Doses 1–2,0.24999999999999997,94,7.9162172900396195,7.835326718581227,7.998346652654395
Algorithm 2,Doses 1–2,0.24999999999999997,95,7.913555719471598,7.833664112047104,7.994000130348296
Algorithm 2,Doses 1–2,0.24999999999999997,96,7.914256233483309,7.83371046557768,7.9950920437149575
Algorithm 2,Doses 1–2,0.24999999999999997,97,7.913065228699515,7.832847829626367,7.994099825499809
Algorithm 2,Doses 1–2,0.24999999999999997,98,7.909581871648256,7.827793354909411,7.991004761108794
Algorithm 2,Doses 1–2,0.24999999999999997,99,7.908319155918864,7.826923762209607,7.9884963840796095
Algorithm 2,Doses 1–2,0.24999999999999997,100,7.907044760035298,7.825115514006617,7.987396623969461
Algorithm 2,Doses 2–3,0.25,1,,,
Algorithm 2,Doses 2–3,0.25,2,,,
Algorithm 2,Doses 2–3,0.25,3,,,
Algorithm 2,Doses 2–3,0.25,4,6.846468017635675,6.846468017635516,6.846468017635518
Algorithm 2,Doses 2–3,0.25,5,7.280888809900972,7.280888809901168,7.28088880990117
Algorithm 2,Doses 2–3,0.25,6,7.600772172846331,7.600772172846248,7.600772172846251
Algorithm 2,Doses 2–3,0.25,7,7.852468667142412,7.852468667142293,7.852468667142297
Algorithm 2,Doses 2–3,0.25,8,7.412376166359369,7.376939628370088,7.447783198488529
Algorithm 2,Doses 2–3,0.25,9,7.254830727635751,7.203913169806298,7.305622921288403
Algorithm 2,Doses 2–3,0.25,10,7.095744331457703,7.037501050273604,7.155507877412687
Algorithm 2,Doses 2–3,0.25,11,6.998174022091941,6.928930863935216,7.06637323679382
Algorithm 2,Doses 2–3,0.25,12,6.861801098228619,6.781756857817727,6.939741755091052
Algorithm 2,Doses 2–3,0.25,13,6.707945329731215,6.625916062676049,6.788189656200582
Algorithm 2,Doses 2–3,0.25,14,6.620858121944975,6.533767009134255,6.704566451579974
Algorithm 2,Doses 2–3,0.25,15,6.522062315327872,6.432630967620738,6.608161771738317
Algorithm 2,Doses 2–3,0.25,16,6.4357806623459455,6.345625159587717,6.525003970451766
